row_id,feature_name,protein_ids,hq_non_na,lq_non_na,hq_mean,lq_mean,log2FC_HQ_minus_LQ,pval,display_name,padj,abs_log2FC,passes_presence,is_significant
3800,DARS2,Q6PI48,6,12,17.315954301310487,17.01712629265096,0.29882800865952674,3.7129465461236674e-07,DARS2,0.0026347068691293545,0.29882800865952674,True,False
6795,NUDC,Q9Y266,6,12,20.129283421354465,19.851800905310522,0.2774825160439427,4.439749845723631e-06,NUDC,0.015752232452627444,0.2774825160439427,True,False
4571,KLHDC4,Q8TBB5-3,6,12,15.007645970659963,14.712779401425728,0.2948665692342356,7.305534929858652e-06,KLHDC4,0.017280025287425668,0.2948665692342356,True,False
2659,GCNT1,Q02742,2,10,14.35870377148349,15.243325054295056,-0.8846212828115654,2.4515015362420098e-05,GCNT1,0.022573567108293578,0.8846212828115654,False,False
3938,ASRGL1,Q7L266,6,12,17.303623616922668,16.63297182392446,0.670651792998207,2.4800146598148866e-05,ASRGL1,0.022573567108293578,0.670651792998207,True,False
3864,RBMS3,Q6XE24-2,6,12,15.118800581736918,15.728571307986053,-0.6097707262491348,3.444534536601966e-05,RBMS3,0.022573567108293578,0.6097707262491348,True,False
5854,CIAO3,Q9H6Q4,6,12,15.32751665269909,14.885933205910911,0.4415834467881794,3.072314703176049e-05,CIAO3,0.022573567108293578,0.4415834467881794,True,False
713,TOX4,O94842-2,6,12,15.40033402862519,15.019132578159175,0.3812014504660155,3.96680628269273e-05,TOX4,0.022573567108293578,0.3812014504660155,True,False
120,GOLIM4,O00461,6,12,15.373577692446476,15.723057830967802,-0.34948013852132576,3.570905157638395e-05,GOLIM4,0.022573567108293578,0.34948013852132576,True,False
2614,TIAL1,Q01085,6,12,17.355455902208725,17.05031616275676,0.30513973945196327,4.135518213187944e-05,TIAL1,0.022573567108293578,0.30513973945196327,True,False
2660,MAP2K1,Q02750,6,12,16.590452554455272,16.325304269839982,0.2651482846152895,3.450974141375665e-05,MAP2K1,0.022573567108293578,0.2651482846152895,True,False
2505,YBX1,P67809,6,12,20.670535572744843,20.45421408520981,0.21632148753503344,2.9922846914308854e-05,YBX1,0.022573567108293578,0.21632148753503344,True,False
3248,SF1,Q15637-2,6,12,18.320774054604726,18.138212044540037,0.18256201006468942,2.5260435209918344e-05,SF1,0.022573567108293578,0.18256201006468942,True,False
3200,ERBB4,Q15303-2,6,12,14.917646389378433,14.010578455594944,0.9070679337834893,5.7978554286914896e-05,ERBB4,0.025713488826246758,0.9070679337834893,True,False
5957,CACYBP,Q9HB71,6,12,17.59214744928074,17.23982172659586,0.35232572268488127,5.176914739806756e-05,CACYBP,0.025713488826246758,0.35232572268488127,True,False
2511,ACTA1,P68133,6,12,18.921692336940822,19.129992091912445,-0.20829975497162323,5.7135375664123826e-05,ACTA1,0.025713488826246758,0.20829975497162323,True,False
6878,STARD10,Q9Y365,6,12,14.881712879161341,15.51527167496599,-0.6335587958046478,7.769559925756002e-05,STARD10,0.03062933179620255,0.6335587958046478,True,False
5530,THUMPD3,Q9BV44,6,12,15.695660377039175,15.399680755888403,0.2959796211507726,7.594553796231443e-05,THUMPD3,0.03062933179620255,0.2959796211507726,True,False
1700,STIP1,P31948,6,12,16.833853819466544,15.741773717390188,1.0920801020763555,0.0001342228480768323,STIP1,0.033738554466326905,1.0920801020763555,True,True
109,PDE2A,O00408-2,6,12,13.697829084418885,12.763091337053822,0.9347377473650624,0.00011348386918824437,PDE2A,0.033738554466326905,0.9347377473650624,True,False
1180,PTPRF,P10586-2,6,12,17.12415469935577,16.302812757863606,0.8213419414921646,0.00013558063495884543,PTPRF,0.033738554466326905,0.8213419414921646,True,False
1743,GPC1,P35052,6,12,15.873096675817884,15.20692363339449,0.6661730424233934,0.00013788304390127963,GPC1,0.033738554466326905,0.6661730424233934,True,False
751,ZFPL1,O95159,6,12,13.786712129518383,13.165335737400708,0.6213763921176749,0.00012752849133851275,ZFPL1,0.033738554466326905,0.6213763921176749,True,False
2890,PTPRS,Q13332-6,6,12,16.97399514186331,16.565397906246634,0.40859723561667494,0.00013090323120167847,PTPRS,0.033738554466326905,0.40859723561667494,True,False
3278,SMAD1,Q15797,6,12,13.363759549485257,12.979707762277455,0.3840517872078024,0.00011169899779883737,SMAD1,0.033738554466326905,0.3840517872078024,True,False
2681,GBE1,Q04446,6,12,14.729065448670354,15.052888505641533,-0.32382305697117886,0.0001073590039677253,GBE1,0.033738554466326905,0.32382305697117886,True,False
4554,WDR48,Q8TAF3,6,12,15.371402549240779,15.060638259256443,0.3107642899843359,0.00012369578307985782,WDR48,0.033738554466326905,0.3107642899843359,True,False
55,SNRPGP15,A8MWD9,6,12,18.173798808447458,17.86408209749663,0.309716710950827,9.209393720003085e-05,SNRPGP15,0.033738554466326905,0.309716710950827,True,False
1265,TPT1,P13693,6,12,18.23505259344328,18.106020400366724,0.1290321930765579,0.00011072594950075682,TPT1,0.033738554466326905,0.1290321930765579,True,False
1078,THBS1,P07996,5,10,12.916344671697649,14.39606453930227,-1.4797198676046204,0.00014487111467776842,THBS1,0.03426684765844816,1.4797198676046204,True,True
2151,HNRNPA3,P51991-2,6,12,17.972688074574528,17.350820930841667,0.6218671437328602,0.0001839439703902921,HNRNPA3,0.0383901886438092,0.6218671437328602,True,False
3284,STXBP2,Q15833-2,6,12,14.545428021181927,15.16517850196422,-0.6197504807822938,0.00016942286603936773,STXBP2,0.0383901886438092,0.6197504807822938,True,False
2810,HYAL2,Q12891,6,12,11.942685854922784,12.510577790388146,-0.5678919354653615,0.00017932867542160588,HYAL2,0.0383901886438092,0.5678919354653615,True,False
2463,FAU,P62861,6,12,18.823547867232023,18.377289658951497,0.44625820828052554,0.00017406138017245863,FAU,0.0383901886438092,0.44625820828052554,True,False
3104,LBR,Q14739,6,12,16.557816490742173,16.061145315957447,0.49667117478472633,0.00019005175855848287,LBR,0.03853163653517127,0.49667117478472633,True,False
2578,FOXK1,P85037,6,12,15.653723153255278,15.193324426635776,0.460398726619502,0.00019906599998069615,FOXK1,0.03923812044063944,0.460398726619502,True,False
50,MYH7B,A7E2Y1-4,6,12,15.365532834669999,15.597578106459514,-0.23204527178951473,0.00020842503158684166,MYH7B,0.03997254119297915,0.23204527178951473,True,False
1009,KRT18,P05783,6,12,16.3757935469614,18.38974443847192,-2.013950891510518,0.00029598119279167543,KRT18,0.04027282004669854,2.013950891510518,True,True
1182,NR2F1,P10589,6,12,16.21434534887894,14.897528723330625,1.3168166255483147,0.00022579524743162704,NR2F1,0.04027282004669854,1.3168166255483147,True,True
1476,CDH3,P22223,6,12,12.682750667719946,13.964214018821414,-1.2814633511014684,0.00033485011030935934,CDH3,0.04027282004669854,1.2814633511014684,True,True
2068,SULT1A1,P50225,6,12,15.954243312682651,17.23078330394382,-1.2765399912611688,0.0002574034232069267,SULT1A1,0.04027282004669854,1.2765399912611688,True,True
2088,RASSF2,P50749,6,12,14.735119052551765,13.789093406920072,0.9460256456316927,0.0002860489239998972,RASSF2,0.04027282004669854,0.9460256456316927,True,False
3912,H3C15,Q71DI3,6,12,13.53036602951134,12.595057405308786,0.9353086242025537,0.00024319858558313455,H3C15,0.04027282004669854,0.9353086242025537,True,False
5995,VAT1L,Q9HCJ6,6,12,18.15273429584828,17.243195354562108,0.9095389412861721,0.0002569558245534259,VAT1L,0.04027282004669854,0.9095389412861721,True,False
3697,ATL3,Q6DD88,6,12,13.481489250266202,14.222218700333352,-0.7407294500671497,0.0003345077974599956,ATL3,0.04027282004669854,0.7407294500671497,True,False
2703,CALD1,Q05682-5,6,12,17.00805297513664,17.740863414118177,-0.732810438981538,0.0003286593127265465,CALD1,0.04027282004669854,0.732810438981538,True,False
1378,GM2A,P17900,6,12,15.177241659189741,15.880913937256558,-0.7036722780668168,0.0002660608936427336,GM2A,0.04027282004669854,0.7036722780668168,True,False
5201,ARAP1,Q96P48-3,6,12,16.06165660896358,16.712264524904985,-0.6506079159414035,0.00022299777805177864,ARAP1,0.04027282004669854,0.6506079159414035,True,False
2635,CDR2,Q01850,6,11,11.007538633512118,11.57386309311952,-0.5663244596074026,0.00029293462104052446,CDR2,0.04027282004669854,0.5663244596074026,True,False
3185,PPA1,Q15181,6,12,19.455484684422647,18.958872655533035,0.4966120288896114,0.000251211632241017,PPA1,0.04027282004669854,0.4966120288896114,True,False
2998,CAMK1,Q14012,6,12,15.19528680316329,14.709595958576367,0.485690844586923,0.0003223163467228963,CAMK1,0.04027282004669854,0.485690844586923,True,False
6313,ELOVL5,Q9NYP7-2,6,12,16.270439756116808,15.848221887094732,0.4222178690220755,0.00029869980960615515,ELOVL5,0.04027282004669854,0.4222178690220755,True,False
6428,WDR35,Q9P2L0-2,6,12,14.895013444781254,14.527793599650288,0.3672198451309665,0.00031311665224890777,WDR35,0.04027282004669854,0.3672198451309665,True,False
415,SSNA1,O43805,6,12,14.705902832806473,14.37128439083091,0.3346184419755627,0.0003330082329730114,SSNA1,0.04027282004669854,0.3346184419755627,True,False
